manufacturer_id,manufacturer_name,country,reliability_rating,contract_status
271,"Nayak, Pant and Arya",India,3.7,Expired
272,"Bora, Mishra and Tara",Switzerland,4.3,Active
273,Dora-Kakar,USA,4.1,Active
274,Shere PLC,USA,3.7,Active
275,Raghavan Inc,India,3.8,Active
276,Bakshi-Dora,Germany,3.9,Expired
277,Vora Ltd,Switzerland,4.4,Active
278,Chowdhury Ltd,USA,3.7,Active
279,"Boase, Mukhopadhyay and Konda",Germany,4.0,Expired
280,"Mangat, Garg and Khatri",USA,4.7,Active
281,Chakraborty Ltd,USA,4.5,Expired
282,Kant-Pai,India,4.6,Active
283,"Varughese, Bal and Kuruvilla",Germany,4.5,Active
284,Murthy LLC,India,4.5,Expired
285,"Saxena, Chad and Handa",UK,4.6,Expired
286,Rau Group,Germany,4.5,Expired
287,Choudhary-Venkatesh,India,4.5,Active
288,Majumdar Ltd,UK,4.6,Active
289,"Borah, Baral and Kashyap",Switzerland,4.0,Active
290,Chand-Kapur,Germany,4.1,Expired
291,Ahluwalia-Chowdhury,India,4.0,Expired
292,Buch and Sons,UK,3.8,Expired
293,Pandit Ltd,USA,4.8,Active
294,"Rai, Apte and Koshy",Germany,3.6,Expired
295,Chauhan-Ram,India,3.9,Expired
296,"Prabhu, Baria and Sengupta",Germany,4.5,Active
297,Balakrishnan-Ravi,UK,4.2,Expired
298,Subramaniam Inc,Switzerland,4.3,Expired
299,"Chada, Soni and Gandhi",Germany,4.3,Active
300,Manne LLC,Germany,3.5,Expired
