bed_id,bed_number,bed_status,ward_id
248,17-8,Available,17
249,17-9,Occupied,17
250,17-10,Occupied,17
251,17-11,Occupied,17
252,17-12,Occupied,17
253,17-13,Available,17
254,17-14,Occupied,17
255,17-15,Occupied,17
256,17-16,Available,17
257,17-17,Available,17
258,17-18,Available,17
259,17-19,Occupied,17
260,17-20,Occupied,17
261,18-1,Occupied,18
262,18-2,Available,18
263,18-3,Available,18
264,18-4,Occupied,18
265,18-5,Available,18
266,18-6,Occupied,18
267,18-7,Occupied,18
268,18-8,Available,18
269,18-9,Occupied,18
270,18-10,Available,18
271,18-11,Available,18
272,18-12,Occupied,18
273,18-13,Occupied,18
274,18-14,Occupied,18
275,18-15,Occupied,18
276,19-1,Available,19
277,19-2,Occupied,19
278,19-3,Occupied,19
279,19-4,Available,19
280,19-5,Occupied,19
281,19-6,Occupied,19
282,19-7,Available,19
283,19-8,Available,19
284,19-9,Occupied,19
285,19-10,Occupied,19
286,20-1,Available,20
287,20-2,Occupied,20
288,20-3,Occupied,20
289,20-4,Available,20
290,20-5,Occupied,20
291,20-6,Occupied,20
292,20-7,Occupied,20
293,20-8,Available,20
294,20-9,Occupied,20
295,20-10,Available,20
296,20-11,Occupied,20
297,20-12,Available,20
298,20-13,Occupied,20
299,20-14,Available,20
300,20-15,Occupied,20
301,21-1,Available,21
302,21-2,Available,21
303,21-3,Occupied,21
304,21-4,Available,21
305,21-5,Occupied,21
306,21-6,Available,21
307,21-7,Occupied,21
308,21-8,Available,21
309,21-9,Occupied,21
310,21-10,Occupied,21
311,21-11,Occupied,21
312,21-12,Available,21
313,21-13,Occupied,21
314,21-14,Occupied,21
315,21-15,Occupied,21
316,22-1,Occupied,22
317,22-2,Available,22
318,22-3,Available,22
319,22-4,Occupied,22
320,22-5,Occupied,22
321,22-6,Occupied,22
322,22-7,Occupied,22
323,22-8,Occupied,22
324,22-9,Available,22
325,22-10,Available,22
326,22-11,Occupied,22
327,22-12,Available,22
328,22-13,Occupied,22
329,22-14,Occupied,22
330,22-15,Available,22
331,23-1,Available,23
332,23-2,Occupied,23
333,23-3,Available,23
334,23-4,Available,23
335,23-5,Occupied,23
336,23-6,Occupied,23
337,23-7,Occupied,23
338,23-8,Available,23
339,23-9,Occupied,23
340,23-10,Occupied,23
341,23-11,Occupied,23
342,23-12,Available,23
343,23-13,Available,23
344,23-14,Occupied,23
345,23-15,Occupied,23
346,23-16,Occupied,23
347,23-17,Occupied,23
348,23-18,Occupied,23
349,23-19,Available,23
350,23-20,Occupied,23
351,24-1,Occupied,24
352,24-2,Occupied,24
353,24-3,Available,24
354,24-4,Occupied,24
355,24-5,Occupied,24
356,24-6,Occupied,24
357,24-7,Occupied,24
358,24-8,Occupied,24
359,24-9,Available,24
360,24-10,Occupied,24
361,25-1,Occupied,25
362,25-2,Occupied,25
363,25-3,Occupied,25
364,25-4,Occupied,25
365,25-5,Available,25
366,25-6,Occupied,25
367,25-7,Occupied,25
368,25-8,Occupied,25
369,25-9,Available,25
370,25-10,Occupied,25
371,25-11,Occupied,25
372,25-12,Occupied,25
373,25-13,Available,25
374,25-14,Occupied,25
375,25-15,Occupied,25
376,25-16,Occupied,25
377,25-17,Occupied,25
378,25-18,Available,25
379,25-19,Occupied,25
380,25-20,Occupied,25
381,26-1,Occupied,26
382,26-2,Occupied,26
383,26-3,Occupied,26
384,26-4,Occupied,26
385,26-5,Occupied,26
386,26-6,Available,26
387,26-7,Occupied,26
388,26-8,Occupied,26
389,26-9,Available,26
390,26-10,Available,26
391,26-11,Occupied,26
392,26-12,Occupied,26
393,26-13,Occupied,26
394,26-14,Occupied,26
395,26-15,Occupied,26
396,27-1,Available,27
397,27-2,Occupied,27
398,27-3,Available,27
399,27-4,Occupied,27
400,27-5,Occupied,27
401,27-6,Occupied,27
402,27-7,Occupied,27
403,27-8,Occupied,27
404,27-9,Occupied,27
405,27-10,Occupied,27
406,27-11,Occupied,27
407,27-12,Occupied,27
408,27-13,Occupied,27
409,27-14,Occupied,27
410,27-15,Occupied,27
411,27-16,Occupied,27
412,27-17,Occupied,27
413,27-18,Available,27
414,27-19,Available,27
415,27-20,Occupied,27
