inventory_id,current_stock,reorder_level,inventory_status,last_restock_date,drug_id
110,467,211,Normal,2022-06-19,110
111,953,231,Normal,2025-06-26,111
112,799,266,Normal,2023-01-15,112
113,491,218,Normal,2024-01-08,113
114,104,245,Low,2023-11-24,114
115,569,104,Normal,2023-05-04,115
116,196,258,Low,2023-07-07,116
117,669,199,Normal,2020-03-10,117
118,981,246,Normal,2020-03-26,118
119,423,115,Normal,2024-01-01,119
120,89,259,Low,2024-07-27,120
121,685,255,Normal,2020-05-20,121
122,837,190,Normal,2022-10-30,122
123,485,125,Normal,2021-04-27,123
124,88,279,Low,2025-05-11,124
125,219,128,Normal,2024-06-09,125
126,548,155,Normal,2023-09-26,126
127,541,179,Normal,2020-04-14,127
128,771,207,Normal,2025-01-26,128
129,596,216,Normal,2020-07-11,129
130,205,236,Low,2020-01-16,130
131,224,136,Normal,2024-01-08,131
132,199,126,Normal,2023-05-10,132
133,164,167,Low,2024-09-11,133
134,821,263,Normal,2022-03-16,134
135,530,231,Normal,2022-03-23,135
136,102,255,Low,2025-04-04,136
137,78,221,Low,2023-07-05,137
138,379,130,Normal,2023-06-28,138
139,675,209,Normal,2023-09-28,139
140,53,231,Low,2021-06-23,140
141,525,195,Normal,2025-03-02,141
142,400,136,Normal,2021-11-04,142
143,874,286,Normal,2021-03-12,143
144,182,208,Low,2021-03-31,144
145,504,147,Normal,2022-10-06,145
146,969,229,Normal,2020-09-11,146
147,750,248,Normal,2021-09-11,147
148,778,195,Normal,2025-08-30,148
149,939,297,Normal,2022-11-08,149
150,962,268,Normal,2023-10-17,150
151,942,134,Normal,2025-07-01,151
152,560,136,Normal,2021-08-14,152
153,395,206,Normal,2021-02-06,153
154,350,287,Normal,2023-08-07,154
155,205,216,Low,2023-10-31,155
156,796,169,Normal,2025-05-08,156
157,130,296,Low,2021-12-31,157
158,963,170,Normal,2020-08-05,158
159,995,122,Normal,2022-06-08,159
160,104,289,Low,2022-07-17,160
161,411,229,Normal,2023-06-09,161
162,470,214,Normal,2025-09-10,162
163,763,249,Normal,2022-07-24,163
164,269,296,Low,2020-11-29,164
165,474,225,Normal,2020-04-19,165
166,490,132,Normal,2022-09-19,166
167,741,221,Normal,2022-05-30,167
168,237,169,Normal,2023-09-05,168
169,105,135,Low,2023-08-03,169
170,726,139,Normal,2023-05-21,170
171,114,203,Low,2021-10-18,171
172,742,193,Normal,2023-04-25,172
173,587,265,Normal,2020-08-09,173
174,931,299,Normal,2025-03-08,174
175,575,117,Normal,2023-04-29,175
176,870,127,Normal,2021-09-30,176
177,339,263,Normal,2022-06-27,177
178,204,214,Low,2024-01-09,178
179,640,260,Normal,2023-02-07,179
180,951,108,Normal,2024-04-09,180
181,334,149,Normal,2023-01-29,181
182,696,235,Normal,2024-02-16,182
183,583,192,Normal,2022-12-14,183
184,739,200,Normal,2020-02-13,184
185,494,193,Normal,2020-10-30,185
186,752,162,Normal,2025-10-05,186
187,985,294,Normal,2020-07-09,187
188,128,277,Low,2020-11-07,188
189,91,161,Low,2022-10-07,189
190,863,276,Normal,2021-05-13,190
191,661,193,Normal,2025-12-18,191
192,63,134,Low,2025-10-07,192
193,842,220,Normal,2025-01-01,193
194,180,286,Low,2021-05-07,194
195,850,162,Normal,2020-08-25,195
196,766,124,Normal,2024-06-14,196
197,680,204,Normal,2025-08-05,197
198,99,175,Low,2023-04-22,198
199,194,102,Normal,2022-01-29,199
200,139,239,Low,2024-03-30,200
201,340,123,Normal,2020-04-10,201
202,618,246,Normal,2024-12-25,202
203,247,262,Low,2021-01-04,203
204,813,144,Normal,2025-02-21,204
205,355,182,Normal,2021-11-02,205
206,773,160,Normal,2024-05-23,206
207,924,163,Normal,2025-09-13,207
208,450,113,Normal,2023-01-14,208
209,293,202,Normal,2025-07-24,209
210,211,116,Normal,2021-01-07,210
211,733,294,Normal,2020-02-24,211
212,348,146,Normal,2022-03-10,212
213,770,218,Normal,2025-01-20,213
214,538,145,Normal,2023-01-29,214
215,334,251,Normal,2025-02-15,215
216,598,213,Normal,2021-10-30,216
217,757,141,Normal,2023-01-03,217
218,315,235,Normal,2020-02-13,218
219,292,279,Normal,2020-10-19,219
220,839,245,Normal,2020-02-14,220
221,870,169,Normal,2022-05-31,221
222,344,280,Normal,2020-09-17,222
223,357,159,Normal,2023-03-09,223
224,663,219,Normal,2024-12-25,224
225,589,139,Normal,2021-08-13,225
226,383,293,Normal,2020-04-02,226
227,848,273,Normal,2023-05-19,227
228,654,134,Normal,2020-07-16,228
229,89,222,Low,2021-12-24,229
230,676,273,Normal,2023-01-01,230
231,206,151,Normal,2022-09-16,231
232,258,106,Normal,2025-11-29,232
233,842,298,Normal,2025-04-04,233
234,555,258,Normal,2023-08-11,234
235,863,138,Normal,2020-06-22,235
236,780,236,Normal,2023-11-19,236
237,377,247,Normal,2021-10-14,237
238,349,210,Normal,2023-06-12,238
239,629,178,Normal,2024-08-24,239
240,493,283,Normal,2024-06-01,240
241,957,241,Normal,2025-11-02,241
242,593,184,Normal,2021-06-29,242
243,553,164,Normal,2020-06-30,243
244,270,164,Normal,2021-12-05,244
245,134,224,Low,2024-05-10,245
246,495,267,Normal,2024-02-23,246
247,494,151,Normal,2025-05-06,247
248,587,138,Normal,2021-04-17,248
249,923,171,Normal,2020-09-12,249
250,694,252,Normal,2020-05-26,250
